desig,name,number,survey,a,e,i,node,argper,period,ra,dec,vmag,absmag,absmagsig,slopepar,heldist,obsdist,alpha,elong,glxlon,glxlat,ra3sig,dec3sig,midtime,midtimejd,aorkey,framet,totalt,elapsed,notes,ch1,ch1err,ch1snr,ch2,ch2err,ch2snr,diam,d1sigl,d1sigu,d3sigl,d3sigu,pv,pv1sigl,pv1sigu,pv3sigl,pv3sigu,eta,eta1sigl,eta1sigu,eta3sigl,eta3sigu,reflsol
1992 UY4,,100085,ExploreNEOs,2.6374,0.62589,2.81,308.4798,38.229,4.28327,351.74239,-0.20492,19.84,18.07,0.22,0.15,1.226,0.8320000000000001,54.8,82.9,82.45424200000001,-56.288605000000004,0.17,0.11,2010-02-07T01:04:57.664,2455234.5451118518,32703232,,,,,316.9,16.8,18.9,1694.1,37.3,45.4,2.025,-0.515,1.06,-0.898,3.8739999999999997,0.025,-0.015,0.022000000000000002,-0.023,0.076,1.4,-0.31,0.55,-0.55,1.69,0.0
1998 MQ,,100926,ExploreNEOs,1.7828,0.40794,24.23,221.1765,138.671,2.38047,122.65728,-0.16798,19.28,17.11,0.22,0.15,1.369,1.0490000000000002,47.7,82.8,222.406278,17.464546,0.08,0.08,2010-12-13T03:49:26.472,2455543.6593341664,32564224,,,,Usedcolpulldownfixmosaics,44.1,6.2,7.1,122.7,10.3,11.9,0.8909999999999999,-0.19699999999999998,0.43700000000000006,-0.35600000000000004,1.791,0.32,-0.17800000000000002,0.218,-0.28800000000000003,0.635,1.33,-0.31,0.55,-0.56,1.74,0.01
1992 SK,,10115,ExploreNEOs,1.2486,0.32473,15.32,8.97,233.5417,1.39523,115.72787,68.63931,16.66,17.4,0.22,0.15,1.17,0.307,50.5,115.8,147.081998,29.7965,0.14,0.17,2010-04-13T09:53:12.483,2455299.9119500346,32650496,,,,,549.2,23.6,23.3,1895.6,41.7,45.5,0.736,-0.15,0.306,-0.272,1.244,0.359,-0.185,0.21600000000000003,-0.315,0.5770000000000001,1.35,-0.3,0.53,-0.54,1.74,0.01
1995 BL2,,10165,ExploreNEOs,1.2346,0.50374,23.89,312.4803,348.3989,1.3718700000000001,118.09674,2.78705,19.27,17.59,0.22,0.15,1.548,0.8170000000000001,35.7,116.0,217.469106,14.821957000000001,0.11,0.13,2010-05-12T15:28:03.873,2455329.14448927,32668672,,,,,29.5,5.4,5.5,49.8,6.7,7.4,0.536,-0.111,0.252,-0.204,1.2570000000000001,0.5670000000000001,-0.309,0.353,-0.521,0.905,1.2,-0.3,0.54,-0.54,1.85,0.07
1999 MM,,101869,ExploreNEOs,1.6238,0.61083,4.76,111.1226,268.5558,2.06926,191.69515,-13.456029999999998,17.6,19.61,0.22,0.15,1.006,0.11,87.5,86.3,301.191665,49.400728,1.27,0.99,2010-02-20T04:29:07.836,2455247.68689625,32701952,,,,,259.0,15.8,16.4,1102.9,30.9,35.7,0.293,-0.048,0.096,-0.091,0.305,0.294,-0.13,0.14,-0.235,0.408,1.7,-0.29,0.51,-0.52,1.41,0.01
1989 ML,,10302,ExploreNEOs,1.2725,0.13665,4.38,104.3993,183.2799,1.4355200000000001,352.26225,-5.5361199999999995,17.44,19.7,0.22,0.15,1.1,0.152,56.0,116.9,77.008325,-60.833259999999996,0.0,0.0,2009-08-21T03:09:35.646,2455064.631662569,32642048,,,,,229.4,14.9,15.4,560.0,21.8,25.7,0.203,-0.035,0.069,-0.067,0.27699999999999997,0.5589999999999999,-0.251,0.27399999999999997,-0.47100000000000003,0.6509999999999999,1.4,-0.3,0.52,-0.55,1.71,0.01
2000 NF11,,105141,ExploreNEOs,1.4211,0.18902,14.82,123.7816,115.8174,1.69402,318.90423,14.67159,18.83,19.22,0.22,0.15,1.187,0.335,52.5,112.4,64.73252099999999,-23.027387,0.89,0.5,2010-08-03T09:37:30.056,2455411.9010423147,32652800,,,,,105.8,10.9,9.7,464.5,20.4,22.8,0.406,-0.091,0.18600000000000003,-0.161,0.721,0.218,-0.11699999999999999,0.152,-0.19399999999999998,0.424,1.37,-0.31,0.54,-0.55,1.73,0.0
1993 WD,Izhdubar,10563,ExploreNEOs,1.0068,0.26644,63.46,56.5736,132.1931,1.01027,100.17752,-39.593090000000004,18.48,17.11,0.22,0.15,1.258,0.6920000000000001,54.2,92.4,248.512537,-18.823437,0.23,0.25,2009-12-01T10:26:31.331,2455166.9350848496,32608256,,,,,152.1,12.6,12.1,506.9,21.8,23.3,1.043,-0.22899999999999998,0.489,-0.419,1.905,0.233,-0.129,0.157,-0.207,0.462,1.38,-0.3,0.55,-0.55,1.69,0.01
2001 LF,,108519,ExploreNEOs,1.6034,0.27083,16.39,267.345,343.738,2.03039,328.47155,16.692529999999998,17.94,18.26,0.22,0.15,1.24,0.366,46.2,118.8,73.21074399999999,-28.572802000000003,0.46,0.15,2009-08-13T13:09:07.530,2455057.04800382,32636160,,,,,1706.7,39.3,43.4,9686.1,87.2,111.1,1.868,-0.501,1.026,-0.857,4.03,0.025,-0.015,0.023,-0.023,0.077,1.3,-0.31,0.55,-0.55,1.78,0.0
1992 CC1,Sigurd,11066,ExploreNEOs,1.3916,0.37522,36.89,349.2676,21.9414,1.64166,194.7584,5.0019800000000005,17.84,15.57,0.22,0.15,1.749,1.048,30.8,117.0,307.94889900000004,67.79764499999999,0.06,0.08,2010-03-19T10:00:30.412,2455274.9170186576,32697088,,,,,157.1,13.2,11.9,235.4,14.8,15.9,1.751,-0.44,1.102,-0.763,5.377000000000001,0.33799999999999997,-0.21100000000000002,0.276,-0.32,0.747,1.15,-0.29,0.55,-0.53,1.93,0.04
2001 XU10,,111253,ExploreNEOs,1.7535,0.43938999999999995,42.03,310.1974,6.8714,2.32206,143.71396000000001,49.221470000000004,18.76,15.57,0.22,0.15,2.1180000000000003,1.435,24.8,118.8,168.81344099999998,46.515702000000005,0.13,0.13,2011-01-29T06:07:42.545,2455590.75535353,32560640,,,,,55.5,7.0,7.9,91.7,8.9,10.3,2.24,-0.685,1.755,-1.083,9.869,0.207,-0.142,0.231,-0.2,0.637,1.09,-0.3,0.55,-0.49,2.0,0.05
1998 YP11,,11398,ExploreNEOs,1.7206,0.38864,15.03,144.9207,74.4488,2.25694,92.0007,14.36532,17.95,16.82,0.22,0.15,1.48,0.7,36.0,119.7,195.212303,-2.823235,0.06,0.05,2010-04-11T12:59:19.545,2455298.0411984376,32691968,,,,,239.5,16.0,15.0,829.8,26.6,31.2,1.446,-0.389,0.8640000000000001,-0.6679999999999999,3.9789999999999996,0.159,-0.098,0.14400000000000002,-0.149,0.449,1.2,-0.3,0.53,-0.54,1.89,0.0
1999 CV3,,11405,ExploreNEOs,1.4594,0.39396,22.86,141.3526,96.2634,1.76295,77.37463000000001,-1.04611,17.54,15.67,0.22,0.15,1.675,0.943,31.7,118.8,201.6616,-23.027186999999998,0.07,0.08,2011-04-02T01:11:42.897,2455653.5498020486,32563200,,,,,200.9,13.9,14.5,382.8,18.4,20.8,1.808,-0.465,1.075,-0.7979999999999999,5.317,0.294,-0.182,0.24600000000000002,-0.27699999999999997,0.69,1.16,-0.3,0.53,-0.54,1.9,0.02
1990 SS,Summanus,11885,ExploreNEOs,1.703,0.47441000000000005,19.42,359.9257,116.0064,2.2223599999999997,102.21394000000001,48.29502,19.69,18.74,0.22,0.15,1.19,0.5479999999999999,59.1,93.5,167.822048,19.496382,0.21,0.38,2010-11-27T00:53:06.088,2455527.5368760186,32574208,,,,,247.8,14.6,17.0,1333.4,33.3,40.0,1.1909999999999998,-0.284,0.564,-0.51,2.117,0.04,-0.022000000000000002,0.031,-0.035,0.105,1.43,-0.3,0.51,-0.55,1.66,0.0
1998 OH,,12538,ExploreNEOs,1.5416,0.40618000000000004,24.53,220.7684,321.701,1.914,13.806770000000002,2.9725,18.79,16.24,0.22,0.15,1.854,1.181,29.6,115.3,124.822223,-59.88466700000001,0.07,0.07,2011-02-03T23:52:49.126,2455596.495013033,32609792,,,,,57.4,7.1,8.1,65.0,7.5,8.7,1.216,-0.311,0.76,-0.532,3.8930000000000002,0.382,-0.24,0.313,-0.36200000000000004,0.8540000000000001,1.14,-0.3,0.55,-0.53,1.93,0.08
1991 BB,Tukmit,12711,ExploreNEOs,1.1864,0.27231,38.48,295.0128,322.8586,1.29226,248.68927999999997,87.85829,17.55,16.24,0.22,0.15,1.172,0.708,60.3,82.9,120.924116,28.313966999999998,0.11,0.2,2009-10-16T16:45:35.140,2455121.19832338,32593664,,,,,370.6,19.3,19.2,1242.1,32.3,38.5,1.558,-0.318,0.6609999999999999,-0.58,2.552,0.23199999999999998,-0.12,0.14400000000000002,-0.203,0.41100000000000003,1.43,-0.29,0.53,-0.53,1.67,0.0
1999 GK4,Zephyr,12923,ExploreNEOs,1.9615,0.49167,5.29,168.3585,146.7936,2.7471400000000004,267.35697999999996,-14.803729999999998,17.98,16.15,0.22,0.15,1.4769999999999999,0.8759999999999999,41.5,103.2,12.598871,6.513976,0.15,0.1,2010-05-21T04:54:42.714,2455337.704661041,32566528,,,,,252.9,21.5,11.8,453.5,23.1,19.6,1.518,-0.36,0.777,-0.633,3.609,0.266,-0.153,0.201,-0.245,0.569,1.25,-0.29,0.52,-0.54,1.84,0.01
1977 VA,,136564,ExploreNEOs,1.8656,0.39446,2.98,224.578,172.4449,2.54809,62.64985,24.818579999999997,18.1,19.41,0.22,0.15,1.1540000000000001,0.23,50.7,119.3,170.183192,-19.272685,0.49,0.19,2010-11-18T20:49:48.355,2455519.3679207754,32626688,,,,,133.3,10.8,12.3,293.3,15.8,18.6,0.228,-0.039,0.085,-0.077,0.34700000000000003,0.584,-0.28,0.287,-0.506,0.701,1.34,-0.29,0.55,-0.54,1.75,0.02
1994 CC,,136617,ExploreNEOs,1.6378,0.41676,4.68,268.6189,24.7442,2.09593,299.13939,-25.72796,18.23,17.97,0.22,0.15,1.124,0.40399999999999997,63.2,95.8,15.520909,-25.005329999999997,0.12,0.05,2011-06-19T18:39:15.937,2455732.277267789,32581120,,,,,148.8,12.3,12.1,439.1,19.8,22.2,0.5429999999999999,-0.098,0.19899999999999998,-0.182,0.758,0.39,-0.185,0.205,-0.332,0.555,1.47,-0.29,0.52,-0.53,1.63,0.01
1994 VA1,,136635,ExploreNEOs,1.5733,0.17502,7.64,231.7774,310.9834,1.97334,185.70905,-23.649,19.86,19.32,0.22,0.15,1.325,0.524,42.6,116.7,294.528273,38.756077000000005,0.54,0.13,2011-04-01T00:24:34.423,2455652.517065081,32570880,,,,,33.1,5.4,6.1,104.8,9.4,11.1,0.33899999999999997,-0.078,0.168,-0.141,0.743,0.287,-0.16,0.203,-0.26,0.5920000000000001,1.27,-0.3,0.53,-0.55,1.81,0.01
1998 FH74,,136874,ExploreNEOs,2.2005,0.88482,21.26,197.6203,193.278,3.26428,210.3015,13.411679999999999,18.42,16.15,0.22,0.15,1.4980000000000002,1.083,43.1,90.6,356.314249,68.698249,0.14,0.13,2010-09-03T02:52:49.580,2455442.620018287,32644608,,,,,267.8,15.8,16.9,1581.1,36.4,43.4,3.445,-0.9490000000000001,2.044,-1.642,9.005,0.051,-0.031,0.05,-0.047,0.17,1.27,-0.29,0.53,-0.54,1.8,0.0
1998 UO1,,137032,ExploreNEOs,1.5954,0.76299,25.53,358.6848,252.2614,2.01513,69.58498,34.54603,18.58,16.92,0.22,0.15,1.235,0.7929999999999999,55.8,84.5,167.027137,-8.258348,0.04,0.04,2010-10-20T17:40:19.771,2455490.236339942,32690944,,,,,163.1,12.1,13.5,692.1,24.2,28.6,1.339,-0.298,0.635,-0.525,2.47,0.16699999999999998,-0.091,0.12,-0.15,0.37,1.4,-0.3,0.53,-0.54,1.69,0.0
1998 VO33,Tjelvar,137052,ExploreNEOs,1.2479,0.80945,14.94,64.3793,209.8102,1.39409,30.799259999999997,13.80979,19.21,17.3,0.22,0.15,1.597,0.893,35.1,114.3,148.201643,-45.510557,0.11,0.08,2010-02-16T22:59:20.020,2455244.4578706017,32661504,,,,,34.3,5.9,5.8,41.7,6.2,6.7,0.585,-0.11900000000000001,0.272,-0.225,1.3359999999999999,0.621,-0.33799999999999997,0.374,-0.57,0.96,1.2,-0.31,0.54,-0.55,1.88,0.11
1998 WM,,137062,ExploreNEOs,1.2246,0.31547,22.52,45.6743,172.504,1.35514,25.91551,35.177170000000004,18.11,16.92,0.22,0.15,1.474,0.6859999999999999,36.5,119.7,134.838909,-26.481157,0.12,0.16,2011-02-20T23:24:42.615,2455613.475493229,32605184,,,,,123.5,11.7,10.6,339.9,17.7,19.2,0.96,-0.22699999999999998,0.511,-0.39399999999999996,2.375,0.326,-0.191,0.244,-0.304,0.6759999999999999,1.2,-0.29,0.54,-0.54,1.88,0.02
1998 WP5,,137064,ExploreNEOs,1.3742,0.19522,19.5,36.1676,97.5681,1.61094,348.01081,-22.44801,20.33,19.03,0.22,0.15,1.45,0.657,38.3,118.2,39.190344,-67.004372,0.21,0.15,2009-12-18T02:17:41.314,2455183.59561706,32706816,,,,,22.2,4.5,4.9,57.7,7.0,8.2,0.371,-0.087,0.2,-0.161,0.932,0.315,-0.185,0.231,-0.292,0.633,1.22,-0.29,0.55,-0.54,1.85,0.01
1998 XS16,,137084,ExploreNEOs,1.2123,0.49651999999999996,26.55,273.0295,358.2381,1.33477,95.97114,-17.565939999999998,17.72,16.72,0.22,0.15,1.4340000000000002,0.6409999999999999,37.4,119.8,225.818425,-13.848035000000001,0.16,0.32,2011-04-14T11:53:25.579,2455665.9954349417,32585472,,,,,214.3,14.6,14.7,617.9,23.5,26.3,1.13,-0.273,0.638,-0.478,2.718,0.28600000000000003,-0.172,0.215,-0.265,0.616,1.22,-0.3,0.56,-0.55,1.87,0.01
1999 CT3,,137125,ExploreNEOs,1.4268,0.1319,34.23,321.9615,268.1982,1.7043,7.79288,-52.92018,19.72,18.84,0.22,0.15,1.3030000000000002,0.557,48.2,107.7,309.894646,-63.937819,0.35,0.72,2011-08-24T09:38:32.277,2455797.9017624655,32718336,,,,,45.1,6.3,7.2,136.2,10.8,12.6,0.434,-0.09699999999999999,0.21600000000000003,-0.177,0.898,0.272,-0.152,0.19,-0.247,0.542,1.33,-0.3,0.56,-0.54,1.78,0.01
1999 HF1,,137170,ExploreNEOs,0.8191,0.4624,25.66,155.9146,253.3479,0.74126,168.09736999999998,89.6355,14.79,14.99,0.22,0.15,1.016,0.298,79.7,83.3,123.098083,27.458820000000003,0.3,0.11,2010-05-25T21:18:41.311,2455342.387978136,32658944,,,,4.5umsaturated,11049.7,99.4,111.2,47615.5,190.5,249.9,4.12,-0.794,1.5919999999999999,-1.462,5.142,0.10400000000000001,-0.05,0.063,-0.087,0.195,1.63,-0.29,0.52,-0.54,1.48,0.0
1999 KX4,,137199,ExploreNEOs,1.4573,0.29281999999999997,16.57,104.9789,76.3737,1.75925,56.09256,14.82709,17.27,17.2,0.22,0.15,1.275,0.431,43.3,119.6,173.276692,-30.67127,0.15,0.12,2011-03-15T20:15:32.408,2455636.3441250925,32586240,,,,,489.5,21.0,23.3,2152.5,43.1,49.9,1.1159999999999999,-0.266,0.58,-0.469,2.432,0.185,-0.106,0.142,-0.16899999999999998,0.42200000000000004,1.27,-0.29,0.55,-0.55,1.8,0.0
1999 XP35,,137671,ExploreNEOs,1.4348,0.1841,21.1,263.5094,198.1813,1.7185700000000002,306.49937,31.76507,20.14,18.84,0.22,0.15,1.476,0.684,37.6,118.3,71.6364,-3.632997,0.19,0.3,2009-11-11T15:05:31.971,2455147.128842257,32715776,,,,,64.2,9.9,6.5,97.0,9.8,9.9,0.503,-0.131,0.29100000000000004,-0.23,1.3030000000000002,0.20199999999999999,-0.121,0.17600000000000002,-0.188,0.552,1.22,-0.3,0.54,-0.55,1.88,0.01
2000 BD19,,137924,ExploreNEOs,0.8765,0.8950299999999999,25.69,333.7814,324.2709,0.8205600000000001,212.24292000000003,48.06061,15.3,17.59,0.22,0.15,1.069,0.145,59.7,113.1,92.286437,64.198914,0.64,0.61,2010-03-27T12:05:31.122,2455283.00383243,32592128,,,,,6277.0,75.3,83.4,27526.3,165.2,166.6,1.149,-0.24100000000000002,0.513,-0.435,1.849,0.12300000000000001,-0.066,0.08199999999999999,-0.10800000000000001,0.272,1.43,-0.29,0.54,-0.54,1.68,0.0
2000 BJ19,,137925,ExploreNEOs,1.2917,0.76375,31.1,131.259,175.4689,1.46809,57.70118000000001,-35.83781,17.25,16.34,0.22,0.15,1.291,0.5920000000000001,48.9,104.7,237.308654,-51.124673,0.48,0.3,2011-03-04T01:19:54.279,2455624.5554893403,32644096,,,,,327.6,16.7,19.6,1130.7,30.5,37.1,1.32,-0.282,0.637,-0.502,2.51,0.293,-0.161,0.19399999999999998,-0.264,0.52,1.33,-0.29,0.55,-0.54,1.74,0.01
2000 CN101,,138013,ExploreNEOs,1.5986,0.6348600000000001,15.95,183.5446,118.5068,2.02125,122.838,8.37214,18.77,15.09,0.22,0.15,2.22,1.7069999999999999,25.7,107.0,214.446517,21.54564,0.17,0.18,2010-05-26T09:41:36.636,2455342.90389625,32640512,,,,,48.8,6.8,7.2,54.1,6.9,7.8,2.407,-0.703,1.7990000000000002,-1.155,10.514000000000001,0.28,-0.18899999999999997,0.293,-0.271,0.8170000000000001,1.11,-0.3,0.55,-0.51,1.98,0.13
2000 SU180,,138727,ExploreNEOs,2.1034,0.6069,11.88,328.1656,135.9341,3.05068,321.30846,16.128429999999998,19.25,19.22,0.22,0.15,1.186,0.376,55.1,107.2,67.566324,-23.887188000000002,0.3,0.8,2009-12-18T03:37:58.070,2455183.651366551,32600320,,,,Usedphotradius3,92.8,9.7,9.6,287.7,16.4,17.5,0.37799999999999995,-0.08,0.163,-0.14400000000000002,0.644,0.253,-0.133,0.166,-0.223,0.467,1.39,-0.3,0.53,-0.55,1.68,0.0
2000 YL29,,138883,ExploreNEOs,1.5361,0.34417,21.89,182.8345,115.8022,1.90382,74.36889000000001,10.628630000000001,18.96,17.01,0.22,0.15,1.319,0.902,50.9,86.1,189.300574,-19.459871,0.07,0.07,2009-10-15T22:49:18.368,2455120.4509070367,32592640,,,,,108.5,10.2,10.6,318.4,16.6,19.2,1.131,-0.255,0.545,-0.46,2.3080000000000003,0.21600000000000003,-0.11900000000000001,0.149,-0.196,0.45299999999999996,1.35,-0.3,0.53,-0.54,1.76,0.01
2000 YH66,,138893,ExploreNEOs,1.1729,0.74361,18.33,265.3168,341.2861,1.2701799999999999,59.490869999999994,8.53707,19.21,18.36,0.22,0.15,1.371,0.581,40.7,117.1,181.363488,-32.456355,0.12,0.14,2011-03-19T18:29:55.955,2455640.2707865164,32681216,,,,,32.5,5.4,6.0,57.4,7.1,8.1,0.341,-0.062,0.133,-0.12,0.637,0.693,-0.34299999999999997,0.34299999999999997,-0.618,0.862,1.24,-0.29,0.53,-0.54,1.83,0.06
2001 AE2,,138911,ExploreNEOs,1.3497,0.08152999999999999,1.66,171.4951,43.0857,1.56798,340.03233,-2.97546,19.87,19.51,0.22,0.15,1.33,0.483,41.8,119.9,64.795596,-50.40278,0.14,0.12,2009-08-13T14:53:36.839,2455057.1205652663,32662272,,,,,24.4,4.7,5.2,88.8,8.6,10.3,0.29,-0.065,0.14400000000000002,-0.12,0.622,0.32799999999999996,-0.183,0.228,-0.298,0.635,1.26,-0.3,0.53,-0.54,1.81,0.01
2001 AU43,,138925,ExploreNEOs,1.8967,0.37725,72.14,129.3248,149.2783,2.61219,295.5138,70.66051999999999,17.45,16.24,0.22,0.15,1.182,0.645,59.8,87.1,102.619672,21.444658999999998,0.37,0.27,2009-08-25T03:00:41.988,2455068.625485972,32616960,,,,,535.2,22.5,23.8,2388.6,45.4,52.6,1.932,-0.42200000000000004,0.9129999999999999,-0.7440000000000001,3.27,0.149,-0.08,0.10300000000000001,-0.131,0.337,1.43,-0.29,0.55,-0.54,1.65,0.0
2001 BK16,,138937,ExploreNEOs,2.0723,0.6783100000000001,31.84,99.0991,252.2471,2.98315,205.37362,14.168520000000001,19.0,17.88,0.22,0.15,1.182,0.629,59.9,88.0,347.441878,72.560389,0.13,0.14,2009-08-23T12:50:06.158,2455067.034793495,32672256,,,,,87.4,8.9,9.8,358.6,17.2,20.8,0.753,-0.156,0.325,-0.287,1.253,0.218,-0.113,0.13699999999999998,-0.193,0.4,1.44,-0.3,0.52,-0.54,1.67,0.0
2001 BA40,,138947,ExploreNEOs,1.119,0.25377,12.84,270.9462,359.9928,1.1836799999999998,321.99227,3.53031,20.46,18.93,0.22,0.15,1.173,0.721,59.1,83.3,56.767463,-32.175781,0.17,0.13,2010-01-10T17:16:01.599,2455207.2194629507,32706304,,,,,13.5,3.5,3.9,59.2,7.1,8.3,0.36,-0.07,0.141,-0.134,0.561,0.366,-0.182,0.207,-0.32,0.565,1.43,-0.29,0.53,-0.54,1.68,0.01
2001 CB21,,138971,ExploreNEOs,1.0348,0.3336,7.9,353.8503,271.6901,1.05261,295.08484,-14.761529999999999,18.43,18.74,0.22,0.15,1.033,0.272,79.9,84.9,24.898007999999997,-17.362153,0.24,0.17,2009-12-06T22:09:34.281,2455172.423313437,32699648,,,,,175.6,13.7,12.8,591.2,23.1,25.6,0.469,-0.085,0.16,-0.153,0.54,0.258,-0.12,0.134,-0.212,0.387,1.65,-0.3,0.51,-0.55,1.47,0.0
2001 EB16,,139047,ExploreNEOs,1.8619,0.38597,46.99,149.5754,346.227,2.54069,79.13763,-49.45344,18.02,17.59,0.22,0.15,1.159,0.473,59.2,96.9,256.043054,-35.393961,1.01,0.38,2011-04-01T08:51:00.050,2455652.8687505787,32570112,,,,,119.3,11.2,10.7,437.9,20.1,21.8,0.637,-0.11900000000000001,0.252,-0.217,0.9420000000000001,0.39899999999999997,-0.196,0.22,-0.34299999999999997,0.5720000000000001,1.44,-0.3,0.54,-0.54,1.67,0.01
2001 GN2,,139211,ExploreNEOs,1.8593,0.45243,26.07,173.6004,3.3904,2.5353,109.0003,-58.250519999999995,18.09,18.16,0.22,0.15,1.123,0.34,61.1,101.7,269.16846499999997,-19.730024,1.52,1.31,2011-04-01T08:35:55.063,2455652.858276192,32617472,,,,,153.8,12.5,12.3,417.0,19.2,21.7,0.44,-0.076,0.157,-0.14300000000000002,0.595,0.495,-0.231,0.243,-0.41600000000000004,0.664,1.45,-0.3,0.53,-0.54,1.66,0.01
2001 KR1,,139289,ExploreNEOs,1.2596,0.8413,23.22,102.9821,291.224,1.41373,240.28912999999997,20.01199,19.89,17.78,0.22,0.15,1.474,0.9159999999999999,42.0,100.2,34.145719,46.198824,0.18,0.22,2010-04-16T04:48:01.074,2455302.70001243,32648192,,,,,38.0,5.8,6.5,208.2,13.1,15.9,1.022,-0.268,0.599,-0.46299999999999997,2.615,0.13,-0.08,0.114,-0.121,0.359,1.25,-0.29,0.54,-0.54,1.83,0.0
2001 SX169,,140158,ExploreNEOs,1.347,0.46115,2.51,126.938,42.5739,1.56331,15.545420000000002,-3.16281,18.74,18.55,0.22,0.15,1.253,0.43,47.2,114.6,129.517151,-65.896856,0.19,0.18,2010-01-26T04:30:24.226,2455222.6877803933,32562176,,,,,91.9,10.2,9.0,361.9,17.7,20.4,0.488,-0.107,0.23399999999999999,-0.192,0.9570000000000001,0.27699999999999997,-0.151,0.198,-0.249,0.546,1.32,-0.31,0.55,-0.55,1.78,0.01
2001 SN289,,140288,ExploreNEOs,1.7839,0.50692,53.26,357.1541,225.5548,2.38263,147.16206,-75.39955,18.79,17.11,0.22,0.15,1.256,0.8340000000000001,54.3,84.3,292.080402,-16.535360999999998,0.38,0.35,2010-10-20T09:26:37.799,2455489.893493044,32647936,,,,,149.3,11.5,13.0,664.6,23.9,27.8,1.3840000000000001,-0.321,0.68,-0.57,2.6430000000000002,0.131,-0.07400000000000001,0.1,-0.11800000000000001,0.308,1.38,-0.3,0.54,-0.54,1.7,0.0
2001 XR1,,141052,ExploreNEOs,1.2456,0.5501199999999999,17.65,291.6139,304.0396,1.39024,251.07396,70.42749,17.22,17.68,0.22,0.15,1.023,0.23199999999999998,84.1,82.9,102.351015,35.919639000000004,0.37,0.58,2010-10-23T10:22:57.282,2455492.9326074305,40391936,,,,,376.8,18.5,20.4,1907.9,40.1,47.6,0.768,-0.133,0.26899999999999996,-0.24600000000000002,0.8759999999999999,0.252,-0.11599999999999999,0.127,-0.20600000000000002,0.366,1.67,-0.29,0.53,-0.53,1.45,0.0
2001 XR1,,141052,ExploreNEOs,1.2456,0.5501199999999999,17.65,291.6139,304.0398,1.39024,262.98179,69.0578,17.16,17.68,0.22,0.15,1.042,0.24,79.4,87.3,99.511981,32.275696,0.41,0.51,2010-10-25T08:47:28.795,2455494.866305497,32577536,,,,,420.5,19.3,21.8,1815.3,39.9,45.5,0.7290000000000001,-0.12300000000000001,0.247,-0.233,0.862,0.278,-0.12300000000000001,0.138,-0.23199999999999998,0.41200000000000003,1.62,-0.28,0.5,-0.53,1.5,0.0
2001 XR1,,141052,ExploreNEOs,1.2456,0.5501199999999999,17.65,291.6137,304.0401,1.39024,284.87661,63.02361,17.13,17.68,0.22,0.15,1.094,0.267,68.3,97.7,93.41187,23.087792,0.42,0.38,2010-10-30T18:27:47.723,2455500.269302349,40396544,,,,Usedcolpulldownfixmosaics,389.5,19.5,20.0,1539.4,36.9,41.7,0.677,-0.124,0.256,-0.22399999999999998,0.894,0.324,-0.155,0.17300000000000001,-0.273,0.489,1.53,-0.3,0.53,-0.55,1.58,0.01
2001 XR1,,141052,ExploreNEOs,1.2456,0.5501199999999999,17.65,291.6132,304.0409,1.39025,304.02868,49.90232,17.39,17.68,0.22,0.15,1.198,0.342,52.3,112.4,85.58199300000001,8.151703,0.33,0.3,2010-11-11T04:02:49.768,2455511.668631574,40391680,,,,Nearbrightstar,835.9,62.7,13.3,1553.6,52.8,29.4,0.775,-0.16399999999999998,0.34,-0.294,1.39,0.25,-0.132,0.159,-0.223,0.45,1.36,-0.29,0.53,-0.54,1.73,0.0
2001 XS30,,141079,ExploreNEOs,1.1646,0.8281299999999999,28.52,251.4804,0.8394,1.25683,322.15294,16.655160000000002,19.03,18.07,0.22,0.15,1.117,0.5760000000000001,64.5,84.6,68.57929399999999,-24.157289000000002,0.4,0.32,2010-01-15T10:07:07.846,2455211.9216185883,32633344,,,,,124.8,10.6,11.8,520.2,20.8,25.0,0.7759999999999999,-0.159,0.324,-0.28,1.187,0.172,-0.08800000000000001,0.10800000000000001,-0.15,0.337,1.48,-0.29,0.52,-0.53,1.62,0.0
2002 DB4,,141484,ExploreNEOs,0.8576,0.36941999999999997,16.6,234.3198,94.0879,0.79422,118.11934,-52.02605,16.45,16.82,0.22,0.15,1.173,0.354,53.3,110.3,265.501547,-12.431279,0.47,0.23,2010-04-04T16:05:30.598,2455291.1704930323,32669696,,,,,718.7,25.9,27.7,2347.2,44.6,52.6,0.988,-0.19699999999999998,0.402,-0.35700000000000004,1.64,0.336,-0.17,0.203,-0.295,0.585,1.37,-0.29,0.53,-0.55,1.73,0.01
2002 EZ11,,141495,ExploreNEOs,1.1142,0.8022199999999999,2.35,52.1239,317.5101,1.17604,205.32293,-4.85173,19.37,18.65,0.22,0.15,1.319,0.562,45.0,111.7,325.443642,55.824066,0.1,0.08,2010-03-27T11:36:45.746,2455282.983862801,32595456,,,,,41.4,6.3,6.6,157.4,11.5,13.7,0.45799999999999996,-0.10099999999999999,0.218,-0.182,0.9690000000000001,0.29,-0.158,0.207,-0.264,0.595,1.29,-0.3,0.52,-0.55,1.79,0.01
