desig,name,number,survey,a,e,i,node,argper,period,ra,dec,vmag,absmag,absmagsig,slopepar,heldist,obsdist,alpha,elong,glxlon,glxlat,ra3sig,dec3sig,midtime,midtimejd,aorkey,framet,totalt,elapsed,notes,ch1,ch1err,ch1snr,ch2,ch2err,ch2snr,diam,d1sigl,d1sigu,d3sigl,d3sigu,pv,pv1sigl,pv1sigu,pv3sigl,pv3sigu,eta,eta1sigl,eta1sigu,eta3sigl,eta3sigu,reflsol
2015 FQ118,,,NEOLegacy,1.1118,0.5293800000000001,23.51,189.0482,188.3877,1.17226,102.11329,-47.809129999999996,20.57,20.9,0.3,0.15,1.1520000000000001,0.349,56.6,106.5,257.24089100000003,-20.217791000000002,40.84,4.87,2018-06-10T19:48:01.227,2458280.3250142015,61976576,100.0,8000.0,,,,,,58.3,7.1,8.2,0.155,-0.031,0.064,-0.062,0.249,0.317,-0.161,0.203,-0.28,0.6579999999999999,1.41,-0.3,0.52,-0.54,1.66,0.01
2001 BY15,,,NEOLegacy,2.6568,0.5160600000000001,32.37,125.3339,49.3795,4.3304599999999995,131.18853000000001,66.63793000000001,20.04,19.32,0.22,0.15,1.305,0.534,45.3,112.5,148.445907,35.882409,0.31,0.24,2018-06-30T06:00:49.007,2458299.750567211,61899520,100.0,6000.0,6527.8,,,,,175.0,12.2,14.3,0.435,-0.107,0.226,-0.187,0.91,0.174,-0.1,0.14,-0.158,0.43200000000000005,1.3,-0.3,0.54,-0.55,1.76,0.0
2002 EM6,,483459,NEOLegacy,1.1598,0.14134000000000002,31.76,169.508,120.955,1.24904,239.88581000000002,17.12409,20.07,20.5,0.3,0.15,1.175,0.33299999999999996,51.8,113.1,30.062742,45.56122,0.3,0.36,2018-07-05T17:48:31.636,2458305.242032824,61896192,100.0,2400.0,2554.3,,,,,230.2,14.0,16.4,0.266,-0.061,0.127,-0.111,0.491,0.156,-0.087,0.11900000000000001,-0.141,0.436,1.36,-0.3,0.55,-0.56,1.7,0.0
2002 SZ,,387668,NEOLegacy,1.2972,0.43346,22.89,346.8718,276.532,1.47746,103.94949,46.30216,21.74,20.7,0.3,0.15,1.381,0.632,41.8,113.4,170.22778799999998,19.963429,0.24,0.29,2018-06-27T01:49:32.296,2458296.576068241,61829888,100.0,8000.0,8613.0,,,,,19.3,4.1,4.7,0.19,-0.047,0.10099999999999999,-0.09,0.47,0.257,-0.15,0.21100000000000002,-0.23800000000000002,0.7040000000000001,1.26,-0.3,0.54,-0.54,1.82,0.01
2003 AL18,,334673,NEOLegacy,1.6844,0.41677,15.73,312.9771,246.6264,2.1861200000000003,230.27845,-86.0882,17.06,18.26,0.22,0.15,1.013,0.188,81.8,87.5,305.53761000000003,-23.995422,0.92,0.89,2018-06-30T03:38:04.329,2458299.651438993,61946880,12.0,120.0,1180.1,,,,,2097.7,42.0,49.9,0.599,-0.10400000000000001,0.203,-0.192,0.685,0.243,-0.11,0.124,-0.2,0.353,1.65,-0.29,0.5,-0.53,1.46,0.0
2006 UX1,,,NEOLegacy,1.7217,0.39731,20.48,21.0182,96.3126,2.25913,184.09004,68.58309,20.6,21.6,0.3,0.15,1.147,0.282,53.3,113.7,127.717794,48.220415,14.55,10.39,2018-07-04T00:48:50.169,2458303.5339139933,61969408,100.0,6000.0,6529.9,,,,,127.9,10.5,12.2,0.162,-0.037000000000000005,0.075,-0.066,0.293,0.153,-0.085,0.11699999999999999,-0.138,0.402,1.37,-0.3,0.54,-0.53,1.72,0.0
2007 HA59,,278327,NEOLegacy,2.5092,0.72633,54.69,57.162,17.533,3.9746099999999998,267.1359,40.57418,18.06,15.86,0.22,0.15,1.4569999999999999,1.129,43.4,86.0,66.4851,28.671017,0.51,0.71,2018-06-29T15:52:23.456,2458299.1613825927,61975040,12.0,120.0,1180.5,,,,,3945.9,59.2,66.7,5.312,-1.535,3.134,-2.628,13.600999999999999,0.027999999999999997,-0.017,0.028999999999999998,-0.026000000000000002,0.098,1.29,-0.31,0.53,-0.56,1.81,0.0
2008 HE,,431760,NEOLegacy,2.2608,0.9506899999999999,9.85,215.319,185.3577,3.3992400000000003,239.78372000000002,-31.646390000000004,18.45,18.45,0.22,0.15,1.187,0.401,53.8,107.4,343.279062,16.15221,0.81,0.51,2018-07-04T07:43:18.344,2458303.8217400927,61860096,30.0,480.0,1243.5,,,,,1229.6,32.0,38.4,0.779,-0.184,0.375,-0.322,1.435,0.12,-0.066,0.091,-0.107,0.271,1.39,-0.31,0.55,-0.55,1.72,0.0
2010 FF7,,432509,NEOLegacy,1.4049,0.82831,16.19,61.0486,342.5099,1.6651599999999998,251.75433999999998,26.579729999999998,19.85,19.8,0.22,0.15,1.124,0.37799999999999995,61.9,98.7,46.68916,37.965602000000004,0.61,0.46,2018-07-01T09:28:08.811,2458300.894546424,61820928,100.0,2400.0,2439.1,,,,,319.3,16.6,19.2,0.382,-0.081,0.17300000000000001,-0.149,0.609,0.14400000000000002,-0.078,0.09699999999999999,-0.126,0.308,1.46,-0.3,0.55,-0.55,1.65,0.0
2011 GO27,,,NEOLegacy,1.8552,0.47193,6.66,337.018,95.5085,2.52688,63.007380000000005,27.757170000000002,20.32,19.32,0.22,0.15,1.136,0.645,61.5,84.1,168.197873,-16.997204,1.39,0.51,2018-06-24T10:29:33.625,2458293.937194734,61900032,100.0,6000.0,6523.1,,,,,112.0,9.9,11.3,0.401,-0.084,0.175,-0.157,0.655,0.205,-0.107,0.135,-0.18,0.408,1.45,-0.3,0.54,-0.54,1.65,0.0
2011 HB53,,436568,NEOLegacy,2.36,0.70586,30.08,83.7882,350.9643,3.6254199999999996,268.0702,71.52887,18.73,17.78,0.22,0.15,1.177,0.594,58.4,91.3,102.145439,30.297943,2.03,2.02,2018-06-28T00:20:39.101,2458297.514341446,61920000,30.0,480.0,1241.6,,,,,1078.8,30.2,35.7,1.1340000000000001,-0.252,0.528,-0.45399999999999996,1.9380000000000002,0.10400000000000001,-0.055999999999999994,0.075,-0.092,0.258,1.42,-0.29,0.52,-0.54,1.65,0.0
2013 AU27,,,NEOLegacy,1.4368,0.24581,32.55,297.032,169.1096,1.72226,248.42052999999999,-73.83476999999999,21.24,19.22,0.22,0.15,1.3880000000000001,0.9420000000000001,46.3,91.0,316.853691,-17.325359,0.36,0.58,2018-07-03T22:06:47.282,2458303.4213805785,61831936,100.0,8000.0,8269.9,,,,,24.3,4.6,5.3,0.35200000000000004,-0.081,0.174,-0.157,0.789,0.29100000000000004,-0.163,0.212,-0.267,0.664,1.3,-0.3,0.53,-0.54,1.81,0.01
1991 DG,,65690,NEOLegacy,1.4273,0.36311,11.15,180.1633,63.3194,1.70518,243.53543,25.28136,14.97,19.51,0.22,0.15,1.031,0.055999999999999994,60.8,116.4,42.566392,44.802183,3.43,2.53,2018-07-18T07:08:10.018,2458317.7973381714,61841920,100.0,1200.0,,,,,,53909.4,1078.2,50.0,0.575,-0.127,0.254,-0.22399999999999998,0.8959999999999999,0.083,-0.044000000000000004,0.057,-0.073,0.191,1.45,-0.31,0.54,-0.55,1.66,0.0
1996 BA1,,,NEOLegacy,1.9847,0.372,6.65,321.3468,178.9696,2.79603,111.14566,18.60108,21.63,20.9,0.3,0.15,1.266,0.54,49.6,106.2,199.638903,15.487648000000002,0.98,0.43,2018-07-16T15:25:52.643,2458316.142970405,61949696,100.0,8000.0,8273.9,,,,,9.1,2.8,3.2,0.11699999999999999,-0.024,0.046,-0.052000000000000005,0.222,0.574,-0.29,0.355,-0.515,1.0959999999999999,1.35,-0.31,0.55,-0.57,1.73,0.03
2001 QM142,,,NEOLegacy,1.235,0.42828999999999995,5.85,151.287,292.6166,1.3724100000000001,109.85736999999999,50.43665,20.79,22.9,0.3,0.15,1.033,0.129,73.6,99.3,167.101807,24.873815,3.64,2.44,2018-07-15T22:38:10.092,2458315.443172361,61937408,100.0,8000.0,8706.8,,,,,29.1,5.0,5.8,0.048,-0.008,0.015,-0.017,0.055999999999999994,0.54,-0.23600000000000002,0.262,-0.447,0.7390000000000001,1.58,-0.3,0.52,-0.54,1.53,0.01
